# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	3319256	882	+					apbC	67510279	KCV09_RS00005	1200		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	3319256	882	+	WP_212515340.1	WP_212515340.1		iron-sulfur cluster carrier protein ApbC	apbC	67510279	KCV09_RS00005	1200	399	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	1057	1926	+						67510280	KCV09_RS00010	870		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	1057	1926	+	WP_212515341.1	WP_212515341.1		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase		67510280	KCV09_RS00010	870	289	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	1952	2506	-						67510281	KCV09_RS00015	555		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	1952	2506	-	WP_171490464.1	WP_171490464.1		DUF2062 domain-containing protein		67510281	KCV09_RS00015	555	184	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	2929	3522	+						67510282	KCV09_RS00020	594		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	2929	3522	+	WP_004935147.1	WP_004935147.1		LysE family translocator		67510282	KCV09_RS00020	594	197	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	3778	5160	+						67510283	KCV09_RS00025	1383		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	3778	5160	+	WP_151815554.1	WP_151815554.1		hypothetical protein		67510283	KCV09_RS00025	1383	460	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	5175	5801	+						67510284	KCV09_RS00030	627		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	5175	5801	+	WP_004935152.1	WP_004935152.1		hypothetical protein		67510284	KCV09_RS00030	627	208	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	5814	8069	+						67510285	KCV09_RS00035	2256		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	5814	8069	+	WP_212515342.1	WP_212515342.1		hypothetical protein		67510285	KCV09_RS00035	2256	751	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	8082	9194	+						67510286	KCV09_RS00040	1113		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	8082	9194	+	WP_228301567.1	WP_228301567.1		hypothetical protein		67510286	KCV09_RS00040	1113	370	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	9246	10958	-						67510287	KCV09_RS00045	1713		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	9246	10958	-	WP_151815556.1	WP_151815556.1		proline--tRNA ligase		67510287	KCV09_RS00045	1713	570	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	11061	14162	-						67510288	KCV09_RS00050	3102		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	11061	14162	-	WP_212515343.1	WP_212515343.1		efflux RND transporter permease subunit		67510288	KCV09_RS00050	3102	1033	
